title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,adult,genre_names,rating_group
Orphan: First Kill,en,2022-07-27,5088.584,902,6.9,0,9572765,99,FALSE,"Horror, Thriller",high
Beast,en,2022-08-11,2172.338,584,7.1,0,56000000,93,FALSE,"Adventure, Drama, Horror",high
Smile,en,2022-09-23,1863.628,114,6.8,17000000,45000000,115,FALSE,"Horror, Mystery, Thriller",high
The Black Phone,en,2022-06-22,1071.398,2736,7.9,18800000,161000000,103,FALSE,"Horror, Thriller",high
Jeepers Creepers: Reborn,en,2022-09-15,821.605,125,5.8,20000000,2892594,88,FALSE,"Horror, Mystery, Thriller",low
Nope,en,2022-07-20,733.112,1684,7,68000000,170800000,130,FALSE,"Horror, Mystery, Science Fiction, Thriller",high
X,en,2022-03-17,543.67,1035,6.8,10000000,14257609,106,FALSE,"Horror, Mystery, Thriller",high
Shut In,en,2022-03-24,399.436,224,7.2,0,304106,90,FALSE,"Horror, Thriller",high
Dahmer,en,2002-06-21,378.39,220,5.2,250000,144008,101,FALSE,"Drama, Horror",low
Halloween Kills,en,2021-10-14,315.027,1941,6.7,20000000,131647155,105,FALSE,"Horror, Thriller",high
Incantation,zh,2022-03-18,313.282,339,6.9,0,5700000,111,FALSE,Horror,high
Scream,en,2022-01-12,291.196,1732,6.7,24000000,140000000,114,FALSE,"Horror, Mystery, Thriller",high
Orphan,en,2009-07-24,265.858,4403,7,20000000,77912251,123,FALSE,"Horror, Mystery, Thriller",high
Jeepers Creepers 3,en,2017-09-26,246.189,692,4.9,6200000,3600000,100,FALSE,"Horror, Mystery, Thriller",low
The Conjuring: The Devil Made Me Do It,en,2021-05-25,246.13,4689,7.6,39000000,201000000,111,FALSE,"Horror, Mystery, Thriller",high
Resident Evil: Welcome to Raccoon City,en,2021-11-24,245.332,1831,6.1,40000000,38600612,107,FALSE,"Action, Horror, Science Fiction",high
The Addams Family 2,en,2021-10-01,241.156,953,7.1,0,119815153,93,FALSE,"Adventure, Animation, Comedy, Family, Fantasy, Horror",high
It Chapter Two,en,2019-09-04,230.451,7221,6.9,79000000,473122525,170,FALSE,"Fantasy, Horror",high
She Will,en,2022-07-15,229.223,24,5.6,0,40958,95,FALSE,"Drama, Horror, Thriller",low
Studio 666,en,2022-02-24,227.919,106,6.3,0,3000776,106,FALSE,"Comedy, Horror, Music",high
The Unholy,en,2021-03-31,207.113,1737,6.7,10000000,30833138,99,FALSE,"Horror, Mystery",high
The Forever Purge,en,2021-06-30,198.269,1904,7.2,18000000,76994245,103,FALSE,"Action, Horror, Thriller",high
Don't Breathe 2,en,2021-08-12,196.003,1847,7.3,10000000,45000000,98,FALSE,"Horror, Thriller",high
Jeepers Creepers,en,2001-07-01,195.983,2395,6.4,10000000,59217789,90,FALSE,"Horror, Thriller",high
Roald Dahl's The Witches,en,2020-10-25,192.006,2331,6.4,0,26900000,106,FALSE,"Adventure, Comedy, Family, Fantasy, Horror",high
The Conjuring,en,2013-07-18,173.527,9735,7.5,13000000,319494638,112,FALSE,"Horror, Thriller",high
Jeepers Creepers 2,en,2003-08-08,169.063,1287,6.1,17000000,63102666,104,FALSE,Horror,high
The Invitation,en,2022-08-24,168.001,176,6.3,10000000,30000000,105,FALSE,"Horror, Thriller",high
Halloween,en,2018-10-18,158.374,3974,6.5,10000000,253688035,106,FALSE,"Horror, Thriller",high
A Quiet Place Part II,en,2021-05-21,153.956,4721,7.6,61000000,297372261,97,FALSE,"Horror, Science Fiction, Thriller",high
Old,en,2021-07-21,148.823,3080,6.5,18000000,90112510,108,FALSE,"Horror, Mystery, Thriller",high
Dark Spell,ru,2021-02-11,146.99,120,6.8,0,532054,92,FALSE,"Fantasy, Horror, Mystery, Romance, Thriller",high
Bride of Chucky,en,1998-10-16,139.831,1495,6,25000000,50671850,89,FALSE,"Comedy, Horror",low
The Conjuring 2,en,2016-06-08,137.18,7061,7.3,40000000,320392818,134,FALSE,"Horror, Thriller",high
World War Z,en,2013-06-20,131.399,13440,6.8,200000000,531865000,116,FALSE,"Action, Drama, Horror, Science Fiction, Thriller",high
The Nun,en,2018-09-05,131.032,5393,5.8,22000000,365550119,96,FALSE,"Horror, Mystery, Thriller",low
A Haunted House 2,en,2014-04-17,125.807,1126,6,4000000,25343661,87,FALSE,"Comedy, Horror",low
